"filename", "language", "C++", "Markdown", "Ignore", "YAML", "JSON", "Dart", "Properties", "Swift", "XML", "HTML", "comment", "blank", "total"
"d:\Project\flutter_apps\class_exchange_manager\.claude\settings.local.json", "JSON", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 1, 29
"d:\Project\flutter_apps\class_exchange_manager\.cursorindexingignore", "Ignore", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"d:\Project\flutter_apps\class_exchange_manager\CLAUDE.md", "Markdown", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 287
"d:\Project\flutter_apps\class_exchange_manager\GEMINI.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 72
"d:\Project\flutter_apps\class_exchange_manager\README.md", "Markdown", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 122
"d:\Project\flutter_apps\class_exchange_manager\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 22, 4, 29
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 11, 1, 46
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 9, 1, 19
"d:\Project\flutter_apps\class_exchange_manager\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 4, 1, 8
"d:\Project\flutter_apps\class_exchange_manager\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Project\flutter_apps\class_exchange_manager\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Project\flutter_apps\class_exchange_manager\devtools_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\Project\flutter_apps\class_exchange_manager\docs\chain_exchange_algorithm.md", "Markdown", 0, 420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 513
"d:\Project\flutter_apps\class_exchange_manager\docs\chain_note.md", "Markdown", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 67
"d:\Project\flutter_apps\class_exchange_manager\docs\current_exchange_systems.md", "Markdown", 0, 639, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 791
"d:\Project\flutter_apps\class_exchange_manager\docs\design.md", "Markdown", 0, 421, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 499
"d:\Project\flutter_apps\class_exchange_manager\docs\exchange_path_type_implementation.md", "Markdown", 0, 142, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 179
"d:\Project\flutter_apps\class_exchange_manager\docs\exchange_validation_system.md", "Markdown", 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 516
"d:\Project\flutter_apps\class_exchange_manager\docs\global_rules.md", "Markdown", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 127
"d:\Project\flutter_apps\class_exchange_manager\docs\provider_migration_examples.md", "Markdown", 0, 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 248
"d:\Project\flutter_apps\class_exchange_manager\docs\provider_refactoring_guide.md", "Markdown", 0, 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 169
"d:\Project\flutter_apps\class_exchange_manager\docs\requirements.md", "Markdown", 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 212
"d:\Project\flutter_apps\class_exchange_manager\docs\syncfusion_datagrid_recreation_fix.md", "Markdown", 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 305
"d:\Project\flutter_apps\class_exchange_manager\docs\technical_issues.md", "Markdown", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 274
"d:\Project\flutter_apps\class_exchange_manager\docs\ui_reset_levels.md", "Markdown", 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 238
"d:\Project\flutter_apps\class_exchange_manager\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"d:\Project\flutter_apps\class_exchange_manager\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"d:\Project\flutter_apps\class_exchange_manager\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Project\flutter_apps\class_exchange_manager\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
